Question,Intent
Are the baby rabbits certified?,RABBIT_CERTIFICATION
What cert does the kit have?,RABBIT_CERTIFICATION
Does the rabbit have a certificate? And what food do I give it?,RABBIT_CERTIFICATION
Is the kit certified by a vet?,RABBIT_CERTIFICATION
Has the kit been cleared by a vet?,RABBIT_CERTIFICATION
Has a vet certified the rabbit ?,RABBIT_CERTIFICATION
Do rabbits need a health cert,RABBIT_CERTIFICATION
Do rabbits get health documentation,RABBIT_CERTIFICATION
Do rabbits have parental bloodlines?,RABBIT_PARENTS
Are the breeds of the rabbits parents?,RABBIT_PARENTS
What are the size of the parents?,RABBIT_PARENTS
What were the breeds of the parents?,RABBIT_PARENTS
Did the baby rabbits parents have any issues?,RABBIT_PARENTS
Where there any problems with the baby rabbits parents?,RABBIT_PARENTS
Can I have details about the father?,RABBIT_PARENTS
What breed is the baby rabbits mother?,RABBIT_PARENTS
Can I meet the parents?,RABBIT_PARENTS
Can I visit the mother?,RABBIT_PARENTS
Do you allow access to the baby rabbits parents?,RABBIT_PARENTS
I would like to see the mother,RABBIT_PARENTS
Can I get access to the father?,RABBIT_PARENTS
I would like to check the health of the mother and father,RABBIT_PARENTS
Are rabbits friendly enough to pet?,RABBIT_SOCIALISATION
I have heard rabbits can be aggressive is this one friendly?,RABBIT_SOCIALISATION
How socialised are the baby rabbits?,RABBIT_SOCIALISATION
Has the kit been around other rabbits and people?,RABBIT_SOCIALISATION
Is the rabbit friendly? ,RABBIT_SOCIALISATION
Has the rabbit been around people? ,RABBIT_SOCIALISATION
How does the rabbit handle strange and new people?,RABBIT_SOCIALISATION
How friendly is the rabbit with people?,RABBIT_SOCIALISATION
Was the rabbit well treated and saw people when being raised?,RABBIT_SOCIALISATION
What vaccines has it had?,RABBIT_HEALTH
Has the kit been vacinated? ,RABBIT_HEALTH
What shots has the rabbit gotten?,RABBIT_HEALTH
Do I need to get innoculations? ,RABBIT_HEALTH
Is the rabbit injection covered?,RABBIT_HEALTH
When is the kit due its vaccine innoculation and injection?,RABBIT_HEALTH
Do rabbits get health innoculations and vaccines?,RABBIT_HEALTH
Will my rabbit need booster vacinations,RABBIT_HEALTH
How many vaccines has the rabbit had for its health?,RABBIT_HEALTH
Has the kit been dewormed?,RABBIT_HEALTH
